# 气象站 西安, 中国, WMO_ID=57131，选择从 05.10.2017 至 05.10.2018, 所有日期
# 编码: UTF-8
# 数据由web站点“Reliable Prognosis”提供，rp5.ru 
# 使用数据时，请自觉指出网站名称
# 气象参数代码见地址 http://rp5.ru/archive.php?wmo_id=57131&lang=cn
#
"当地时间 西安";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"24.06.2018 20:00";"28.1";"715.9";"750.4";"1.1";"67";"从西南方吹来的风";"4";"";"";"90  或者更多，但不为100%";" ";"";"";"";"";"";"90  或者更多，但不为100%";"2500或更高，或无云。";"";"";"12.0";"21.4";"";"";"";"";"";"";
"24.06.2018 17:00";"34.6";"714.8";"748.5";"-0.9";"37";"从东南方吹来的风";"2";"";"";"100%.";" ";"";"";"";"";"";"100%.";"2500或更高，或无云。";"";"";"20.0";"17.8";"";"";"";"";"";"";
"24.06.2018 14:00";"34.8";"715.7";"749.4";"-1.0";"35";"从东南偏东方向吹来的风";"2";"";"";"90  或者更多，但不为100%";" ";"";"";"25.8";"";"";"90  或者更多，但不为100%";"2500或更高，或无云。";"";"";"25.0";"17.1";"";"";"";"";"";"";
"24.06.2018 11:00";"31.3";"716.7";"750.9";"0.1";"44";"从东北方吹来的风";"3";"";"";"90  或者更多，但不为100%";" ";"";"";"";"";"";"90  或者更多，但不为100%";"2500或更高，或无云。";"";"";"17.0";"17.6";"";"";"";"";"";"";
"24.06.2018 08:00";"26.3";"716.6";"751.3";"1.4";"57";"从东北偏东方向吹来的风";"5";"";"";"90  或者更多，但不为100%";" ";"";"";"";"";"";"90  或者更多，但不为100%";"2500或更高，或无云。";"";"";"17.0";"17.1";"";"";"";"";"";"";
"24.06.2018 05:00";"25.9";"715.2";"749.9";"0.0";"58";"从东北方吹来的风";"2";"";"";"由于雾和/或其他气象现象，天空不可见。";" ";"";"";"";"";"";"";"";"";"";"17.0";"17.0";"";"";"";"";"";"";
"24.06.2018 02:00";"29.3";"715.2";"749.5";"-0.7";"51";"从东南偏东方向吹来的风";"3";"";"";"由于雾和/或其他气象现象，天空不可见。";" ";"";"";"";"36.0";"";"";"";"";"";"25.0";"18.1";"";"";"";"";"";"";
"23.06.2018 23:00";"30.7";"715.9";"750.1";"0.9";"46";"从东方吹来的风";"3";"";"";"由于雾和/或其他气象现象，天空不可见。";" ";"";"";"";"";"";"";"";"";"";"23.0";"17.8";"";"";"";"";"";"";
"23.06.2018 20:00";"32.7";"715.0";"748.9";"0.0";"38";"从东北方吹来的风";"2";"";"";"无云";" ";"";"";"";"";"";"";"";"";"";"25.0";"16.5";"";"";"";"";"";"";
"23.06.2018 17:00";"35.6";"715.0";"748.6";"-1.5";"34";"从东方吹来的风";"4";"";"";"无云";" ";"";"";"";"";"";"";"";"";"";"25.0";"17.3";"";"";"";"";"";"";
"23.06.2018 14:00";"34.1";"716.5";"750.3";"-1.3";"38";"从东北偏北方向吹来的风";"2";"";"";"无云";" ";"";"";"24.3";"";"";"";"";"";"";"20.0";"17.8";"";"";"";"";"";"";
"23.06.2018 11:00";"31.3";"717.8";"752.0";"0.1";"42";"从北方吹来的风";"3";"";"";"10%  或者更少，但不为0";" ";"";"";"";"";"";"10%  或者更少，但不为0";"2500或更高，或无云。";"";"";"17.0";"16.9";"";"";"";"";"";"";
"23.06.2018 08:00";"25.9";"717.7";"752.5";"1.3";"50";"从东北偏东方向吹来的风";"4";"";"";"90  或者更多，但不为100%";" ";"";"";"";"";"";"90  或者更多，但不为100%";"2500或更高，或无云。";"";"";"18.0";"14.7";"";"";"";"";"";"";
"23.06.2018 05:00";"24.8";"716.4";"751.3";"0.3";"50";"从东北方吹来的风";"2";"";"";"由于雾和/或其他气象现象，天空不可见。";" ";"";"";"";"";"";"";"";"";"";"27.0";"13.7";"";"";"";"";"";"";
"23.06.2018 02:00";"26.5";"716.1";"750.8";"-0.2";"45";"从东北偏北方向吹来的风";"4";"";"";"由于雾和/或其他气象现象，天空不可见。";" ";"";"";"";"34.7";"";"";"";"";"";"28.0";"13.6";"";"";"";"";"";"";
"22.06.2018 23:00";"28.8";"716.3";"750.7";"0.5";"43";"从东北方吹来的风";"3";"";"";"由于雾和/或其他气象现象，天空不可见。";" ";"";"";"";"";"";"";"";"";"";"25.0";"15.0";"";"";"";"";"";"";
"22.06.2018 20:00";"31.5";"715.8";"749.8";"0.3";"39";"从东北偏东方向吹来的风";"3";"";"";"10%  或者更少，但不为0";" ";"";"";"";"";"";"10%  或者更少，但不为0";"2500或更高，或无云。";"";"";"25.0";"15.9";"";"";"";"";"";"";
"22.06.2018 17:00";"34.7";"715.5";"749.2";"-1.4";"33";"从东北偏东方向吹来的风";"2";"";"";"无云";" ";"";"";"";"";"";"";"";"";"";"24.0";"16.1";"";"";"";"";"";"";
"22.06.2018 14:00";"32.8";"716.9";"750.9";"-1.4";"40";"从东北偏东方向吹来的风";"1";"";"";"无云";" ";"";"";"23.1";"";"";"";"";"";"";"23.0";"17.4";"";"";"";"";"";"";
"22.06.2018 11:00";"29.4";"718.3";"752.8";"-0.3";"47";"从东北偏北方向吹来的风";"3";"";"";"无云";" ";"";"";"";"";"";"";"";"";"";"16.0";"16.9";"";"";"";"";"";"";
"22.06.2018 08:00";"24.6";"718.6";"753.6";"1.2";"56";"从东北偏东方向吹来的风";"4";"";"";"无云";" ";"";"";"";"";"";"";"";"";"";"15.0";"15.2";"";"";"";"";"";"";
"22.06.2018 05:00";"23.8";"717.4";"752.5";"0.4";"52";"从东北偏东方向吹来的风";"3";"";"";"由于雾和/或其他气象现象，天空不可见。";" ";"";"";"";"";"";"";"";"";"";"22.0";"13.4";"";"";"";"";"";"";
"22.06.2018 02:00";"25.1";"717.0";"751.9";"-0.9";"46";"从东北方吹来的风";"2";"";"";"由于雾和/或其他气象现象，天空不可见。";" ";"";"";"";"34.7";"";"";"";"";"";"26.0";"12.7";"";"";"";"";"";"";
"21.06.2018 23:00";"27.9";"717.9";"752.5";"1.5";"51";"从东北方吹来的风";"2";"";"";"由于雾和/或其他气象现象，天空不可见。";" ";"";"";"";"";"";"";"";"";"";"23.0";"16.8";"";"";"";"";"";"";
"21.06.2018 20:00";"31.0";"716.4";"750.6";"0.0";"41";"从东方吹来的风";"1";"";"";"20–30%.";" ";"";"";"";"";"";"20–30%.";"2500或更高，或无云。";"";"";"26.0";"16.2";"";"";"";"";"";"";
"21.06.2018 17:00";"33.2";"716.4";"750.3";"-0.9";"34";"从东南偏南方向吹来的风";"3";"";"";"90  或者更多，但不为100%";" ";"";"";"";"";"";"90  或者更多，但不为100%";"2500或更高，或无云。";"";"";"30.0";"15.2";"";"";"";"";"";"";
"21.06.2018 14:00";"33.3";"717.3";"751.3";"-1.0";"36";"从东北偏东方向吹来的风";"3";"";"";"70 – 80%.";" ";"";"";"23.6";"";"";"70 – 80%.";"2500或更高，或无云。";"";"";"30.0";"16.2";"";"";"";"";"";"";
"21.06.2018 11:00";"30.8";"718.3";"752.6";"-0.6";"44";"从东北偏东方向吹来的风";"3";"";"";"60%.";" ";"";"";"";"";"";"60%.";"2500或更高，或无云。";"";"";"13.0";"17.1";"";"";"";"";"";"";
"21.06.2018 08:00";"26.3";"718.9";"753.1";"1.5";"61";"从东北偏东方向吹来的风";"3";"";"";"20–30%.";" ";"";"";"";"";"";"20–30%.";"2500或更高，或无云。";"";"";"7.0";"18.2";"";"";"";"";"";"";
"21.06.2018 05:00";"24.2";"717.4";"752.4";"0.2";"70";"从东北偏北方向吹来的风";"3";"";"";"由于雾和/或其他气象现象，天空不可见。";" ";"";"";"";"";"";"";"";"";"";"9.0";"18.4";"";"";"";"";"";"";
"21.06.2018 02:00";"27.0";"717.2";"751.9";"-0.4";"52";"从东方吹来的风";"2";"";"";"由于雾和/或其他气象现象，天空不可见。";" ";"";"";"";"33.8";"";"";"";"";"";"30.0";"16.3";"";"";"";"";"";"";
"20.06.2018 23:00";"28.6";"717.6";"752.1";"0.7";"52";"从东方吹来的风";"3";"";"";"由于雾和/或其他气象现象，天空不可见。";" ";"";"";"";"";"";"";"";"";"";"30.0";"17.8";"";"";"";"";"";"";
"20.06.2018 20:00";"30.8";"716.9";"751.1";"-0.2";"45";"从东北偏东方向吹来的风";"4";"";"";"20–30%.";" ";"";"";"";"";"";"20–30%.";"2500或更高，或无云。";"";"";"22.0";"17.5";"";"";"";"";"";"";
"20.06.2018 17:00";"33.6";"717.1";"751.0";"-1.1";"41";"从东方吹来的风";"3";"";"";"无云";" ";"";"";"";"";"";"";"";"";"";"21.0";"18.5";"";"";"";"";"";"";
"20.06.2018 14:00";"31.8";"718.2";"752.4";"-1.3";"48";"从东北方吹来的风";"3";"";"";"90  或者更多，但不为100%";" ";"";"";"23.4";"";"";"90  或者更多，但不为100%";"2500或更高，或无云。";"";"";"10.0";"19.4";"";"";"";"";"";"";
"20.06.2018 11:00";"29.1";"719.5";"754.0";"0.4";"61";"从北方吹来的风";"3";"";"";"90  或者更多，但不为100%";"霾 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"";"";"";"90  或者更多，但不为100%";"2500或更高，或无云。";"";"";"";"20.8";"";"";"";"";"";"";
"20.06.2018 08:00";"25.2";"719.1";"754.1";"0.8";"76";"从东北偏东方向吹来的风";"3";"";"";"20–30%.";"薄雾 ";"";"";"";"";"";"20–30%.";"2500或更高，或无云。";"";"";"4.4";"20.7";"";"";"";"";"";"";
"20.06.2018 05:00";"23.8";"718.3";"753.4";"0.2";"84";"从东北方吹来的风";"1";"";"";"由于雾和/或其他气象现象，天空不可见。";" ";"";"";"";"";"";"";"";"";"";"8.0";"20.9";"";"";"";"";"";"";
"20.06.2018 02:00";"25.2";"718.1";"753.0";"-0.2";"73";"从西南偏西方向吹来的风";"1";"";"";"由于雾和/或其他气象现象，天空不可见。";" ";"";"";"";"30.5";"";"";"";"";"";"10.0";"20.0";"";"";"";"";"";"";
"19.06.2018 23:00";"26.4";"718.3";"753.1";"0.7";"64";"从西南方吹来的风";"1";"";"";"由于雾和/或其他气象现象，天空不可见。";" ";"";"";"";"";"";"";"";"";"";"16.0";"19.0";"";"";"";"";"";"";
"19.06.2018 20:00";"27.4";"717.6";"752.3";"0.3";"56";"从东南偏东方向吹来的风";"1";"";"";"100%.";" ";"";"";"";"";"";"100%.";"2500或更高，或无云。";"";"";"23.0";"17.9";"";"";"";"";"";"";
"19.06.2018 17:00";"30.2";"717.3";"751.6";"-0.7";"45";"从东南方吹来的风";"2";"";"";"90  或者更多，但不为100%";" ";"";"";"";"";"";"90  或者更多，但不为100%";"2500或更高，或无云。";"";"";"14.0";"17.0";"";"";"";"";"";"";
"19.06.2018 14:00";"28.7";"718.0";"752.5";"-0.8";"54";"从西南偏西方向吹来的风";"1";"";"";"90  或者更多，但不为100%";" ";"";"";"19.7";"";"";"90  或者更多，但不为100%";"2500或更高，或无云。";"";"";"15.0";"18.5";"";"";"";"";"";"";
"19.06.2018 11:00";"26.0";"718.8";"753.7";"-0.4";"69";"从西南偏西方向吹来的风";"2";"";"";"90  或者更多，但不为100%";" ";"";"";"";"";"";"90  或者更多，但不为100%";"2500或更高，或无云。";"";"";"8.0";"19.9";"";"";"";"";"";"";
"19.06.2018 08:00";"21.9";"719.2";"754.3";"1.4";"91";"从西南方吹来的风";"2";"";"";"100%.";"薄雾 ";"";"";"";"";"";"100%.";"2500或更高，或无云。";"";"";"3.3";"20.4";"0.1";"6";"";"";"";"";
"19.06.2018 05:00";"20.1";"717.8";"753.4";"-0.1";"95";"从东方吹来的风";"1";"";"";"由于雾和/或其他气象现象，天空不可见。";"薄雾 ";"";"";"";"";"";"";"";"";"";"2.3";"19.3";"";"";"";"";"";"";
"19.06.2018 02:00";"20.7";"717.9";"753.4";"-0.3";"93";"从西南偏南方向吹来的风";"1";"";"";"由于雾和/或其他气象现象，天空不可见。";"薄雾 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"";"";"";"";"";"";"";"4.4";"19.5";"0.3";"6";"";"";"";"";
"18.06.2018 23:00";"20.9";"718.2";"753.7";"0.6";"93";"从东南偏南方向吹来的风";"1";"";"";"由于雾和/或其他气象现象，天空不可见。";"薄雾 ";"";"";"";"";"";"";"";"";"";"";"19.7";"";"";"";"";"";"";
"18.06.2018 20:00";"21.1";"717.6";"753.0";"1.0";"90";"从北方吹来的风";"2";"";"";"100%.";"间歇性雨，不冻，在观测时较弱 ";"雨";"雨";"";"";"";"100%.";"2500或更高，或无云。";"";"";"10.0";"19.4";"4.0";"6";"";"";"";"";
"18.06.2018 17:00";"21.2";"716.6";"752.0";"-0.3";"95";"从东北偏北方向吹来的风";"3";"";"";"100%.";"间歇性雨，不冻，在观测时较弱 ";"雨";"雨";"";"";"";"100%.";"2500或更高，或无云。";"";"";"1.9";"20.4";"";"";"";"";"";"";
"18.06.2018 14:00";"21.0";"716.9";"751.6";"0.3";"95";"从东北偏北方向吹来的风";"5";"";"";"100%.";"间歇性雨，不冻，在观测时中度 ";"雨";"雨";"20.4";"";"";"100%.";"2500或更高，或无云。";"";"";"1.5";"20.2";"13.0";"6";"";"";"";"";
"18.06.2018 11:00";"21.3";"716.6";"751.9";"-0.6";"95";"从东北偏北方向吹来的风";"3";"";"";"100%.";"间歇性雨，不冻，在观测时较弱 ";"雨";"雨";"";"";"";"100%.";"2500或更高，或无云。";"";"";"1.1";"20.5";"";"";"";"";"";"";
"18.06.2018 08:00";"20.6";"717.2";"751.8";"1.5";"94";"从东北方吹来的风";"3";"";"";"100%.";"间歇性雨，不冻，在观测时较弱 ";"";"";"";"";"";"100%.";"2500或更高，或无云。";"";"";"1.7";"19.6";"5.0";"6";"";"";"";"";
"18.06.2018 05:00";"21.2";"715.7";"751.0";"0.3";"90";"从东北方吹来的风";"1";"";"";"由于雾和/或其他气象现象，天空不可见。";"薄雾 ";"";"";"";"";"";"";"";"";"";"3.1";"19.5";"";"";"";"";"";"";
"18.06.2018 02:00";"24.3";"715.4";"750.3";"-0.6";"78";"从北方吹来的风";"2";"";"";"由于雾和/或其他气象现象，天空不可见。";"薄雾 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"";"31.6";"";"";"";"";"";"";"20.2";"";"";"";"";"";"";
"17.06.2018 23:00";"24.0";"716.0";"751.0";"0.4";"83";"从西北偏西方向吹来的风";"1";"";"";"由于雾和/或其他气象现象，天空不可见。";"薄雾 ";"";"";"";"";"";"";"";"";"";"4.4";"20.9";"";"";"";"";"";"";
"17.06.2018 20:00";"28.3";"715.6";"750.1";"0.3";"53";"从东南偏南方向吹来的风";"3";"";"";"100%.";"间歇性雨，不冻，在观测时较弱 ";"雨";"在整个相应周期内云遮住了一半或以下的天空";"";"";"";"100%.";"2500或更高，或无云。";"";"";"24.0";"17.8";"0.1";"6";"";"";"";"";
"17.06.2018 17:00";"30.4";"715.3";"749.5";"-0.7";"46";"从东北方吹来的风";"3";"";"";"90  或者更多，但不为100%";" ";"";"";"";"";"";"90  或者更多，但不为100%";"2500或更高，或无云。";"";"";"19.0";"17.5";"";"";"";"";"";"";
"17.06.2018 14:00";"31.3";"716.0";"750.4";"-1.5";"46";"从东北偏东方向吹来的风";"3";"";"";"90  或者更多，但不为100%";" ";"";"";"19.3";"";"";"90  或者更多，但不为100%";"2500或更高，或无云。";"";"";"13.0";"18.3";"";"";"";"";"";"";
"17.06.2018 11:00";"28.6";"717.5";"752.0";"-0.8";"51";"从东北偏北方向吹来的风";"4";"";"";"无云";" ";"";"";"";"";"";"";"";"";"";"10.0";"17.5";"";"";"";"";"";"";
"17.06.2018 08:00";"23.6";"718.3";"753.0";"1.3";"70";"从南方吹来的风";"1";"";"";"无云";"薄雾 ";"";"";"";"";"";"";"";"";"";"6.0";"17.8";"";"";"";"";"";"";
"17.06.2018 05:00";"19.8";"717.0";"752.5";"-1.0";"87";"从西北偏西方向吹来的风";"1";"";"";"由于雾和/或其他气象现象，天空不可见。";"薄雾 ";"";"";"";"";"";"";"";"";"";"";"17.6";"";"";"";"";"";"";
"17.06.2018 02:00";"20.5";"718.0";"752.8";"0.2";"83";"从东北偏北方向吹来的风";"1";"";"";"由于雾和/或其他气象现象，天空不可见。";"薄雾 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"";"27.9";"";"";"";"";"";"6.0";"17.5";"";"";"";"";"";"";
"16.06.2018 23:00";"22.0";"717.8";"753.1";"0.3";"81";"从东北偏北方向吹来的风";"3";"";"";"由于雾和/或其他气象现象，天空不可见。";" ";"";"";"";"";"";"";"";"";"";"7.0";"18.6";"";"";"";"";"";"";
"16.06.2018 20:00";"22.7";"717.5";"752.7";"-0.5";"78";"从东北偏北方向吹来的风";"3";"";"";"100%.";"云量发展情况没有进行观测或无法观测。 ";"雨";"在整个相应周期内云遮住了一半或以下的天空";"";"";"";"100%.";"2500或更高，或无云。";"";"";"13.0";"18.7";"";"";"";"";"";"";
"16.06.2018 17:00";"23.8";"718.0";"753.1";"-0.2";"71";"从东北偏东方向吹来的风";"3";"";"";"100%.";"云量发展情况没有进行观测或无法观测。 ";"雨";"在整个相应周期内云遮住了一半或以下的天空";"";"";"";"100%.";"2500或更高，或无云。";"";"";"16.0";"18.2";"";"";"";"";"";"";
"16.06.2018 14:00";"25.0";"718.2";"753.2";"-0.2";"67";"从北方吹来的风";"5";"";"";"100%.";"小雨（不冻） ";"雨";"在整个相应周期内云遮住了一半或以下的天空";"25.0";"";"";"100%.";"2500或更高，或无云。";"";"";"12.0";"18.4";"降水迹象";"6";"";"";"";"";
"16.06.2018 11:00";"27.3";"718.4";"753.1";"-0.3";"50";"从东北偏东方向吹来的风";"1";"";"";"90  或者更多，但不为100%";"小雨（不冻） ";"雨";"雨";"";"";"";"90  或者更多，但不为100%";"2500或更高，或无云。";"";"";"24.0";"16.0";"";"";"";"";"";"";
"16.06.2018 08:00";"25.8";"718.7";"752.9";"1.8";"53";"从东南方吹来的风";"4";"";"";"100%.";"间歇性雨，不冻，在观测时较弱 ";"";"";"";"";"";"100%.";"1000-1500";"";"";"27.0";"15.5";"降水迹象";"12";"";"";"";"";
"16.06.2018 05:00";"26.4";"716.9";"751.6";"-1.1";"47";"从东南方吹来的风";"3";"";"";"由于雾和/或其他气象现象，天空不可见。";" ";"";"";"";"";"";"";"";"";"";"30.0";"14.2";"";"";"";"";"";"";
"16.06.2018 02:00";"26.8";"718.0";"751.9";"0.6";"47";"无风";"0";"";"";"由于雾和/或其他气象现象，天空不可见。";" ";"";"";"";"36.1";"";"";"";"";"";"30.0";"14.6";"";"";"";"";"";"";
"15.06.2018 23:00";"28.5";"717.4";"751.9";"0.6";"45";"从西北偏北方向吹来的风";"3";"";"";"由于雾和/或其他气象现象，天空不可见。";" ";"";"";"";"";"";"";"";"";"";"23.0";"15.4";"";"";"";"";"";"";
"15.06.2018 20:00";"30.8";"716.8";"751.0";"0.6";"36";"从东南方吹来的风";"1";"";"";"90  或者更多，但不为100%";" ";"";"";"";"";"";"90  或者更多，但不为100%";"1000-1500";"";"";"25.0";"14.0";"";"";"";"";"";"";
"15.06.2018 17:00";"33.3";"716.2";"750.1";"-0.2";"28";"从西南方吹来的风";"4";"";"";"90  或者更多，但不为100%";" ";"";"";"";"";"";"90  或者更多，但不为100%";"2500或更高，或无云。";"";"";"30.0";"12.3";"";"";"";"";"";"";
"15.06.2018 14:00";"34.7";"716.4";"750.2";"-1.4";"28";"从西南方吹来的风";"4";"";"";"90  或者更多，但不为100%";" ";"";"";"24.0";"";"";"90  或者更多，但不为100%";"1500-2000";"";"";"30.0";"13.5";"";"";"";"";"";"";
"15.06.2018 11:00";"32.6";"717.8";"751.9";"0.1";"40";"从东北偏东方向吹来的风";"2";"";"";"90  或者更多，但不为100%";" ";"";"";"";"";"";"90  或者更多，但不为100%";"2500或更高，或无云。";"";"";"22.0";"17.2";"";"";"";"";"";"";
"15.06.2018 08:00";"27.5";"717.7";"752.3";"1.5";"48";"从东北方吹来的风";"3";"";"";"90  或者更多，但不为100%";" ";"";"";"";"";"";"90  或者更多，但不为100%";"2500或更高，或无云。";"";"";"19.0";"15.5";"";"";"";"";"";"";
"15.06.2018 05:00";"24.3";"716.2";"751.2";"0.3";"50";"从北方吹来的风";"3";"";"";"由于雾和/或其他气象现象，天空不可见。";" ";"";"";"";"";"";"";"";"";"";"18.0";"13.2";"";"";"";"";"";"";
"15.06.2018 02:00";"25.3";"715.9";"750.7";"-0.6";"44";"从西北偏北方向吹来的风";"1";"";"";"由于雾和/或其他气象现象，天空不可见。";" ";"";"";"";"35.6";"";"";"";"";"";"16.0";"12.2";"";"";"";"";"";"";
"14.06.2018 23:00";"28.3";"716.5";"751.0";"1.3";"32";"从东南偏东方向吹来的风";"2";"";"";"由于雾和/或其他气象现象，天空不可见。";" ";"";"";"";"";"";"";"";"";"";"21.0";"10.0";"";"";"";"";"";"";
"14.06.2018 20:00";"31.8";"715.2";"749.2";"-0.3";"25";"从东北方吹来的风";"2";"";"";"70 – 80%.";" ";"";"";"";"";"";"70 – 80%.";"2500或更高，或无云。";"";"";"29.0";"9.4";"";"";"";"";"";"";
"14.06.2018 17:00";"35.4";"715.5";"749.1";"-1.4";"19";"从东北方吹来的风";"3";"";"";"90  或者更多，但不为100%";" ";"";"";"";"";"";"90  或者更多，但不为100%";"2500或更高，或无云。";"";"";"30.0";"8.3";"";"";"";"";"";"";
"14.06.2018 14:00";"34.3";"716.9";"750.7";"-1.2";"26";"从东方吹来的风";"5";"";"";"90  或者更多，但不为100%";" ";"";"";"22.4";"";"";"90  或者更多，但不为100%";"2500或更高，或无云。";"";"";"30.0";"12.1";"";"";"";"";"";"";
"14.06.2018 11:00";"30.1";"718.1";"752.5";"0.5";"39";"从东北方吹来的风";"4";"";"";"100%.";" ";"";"";"";"";"";"100%.";"2500或更高，或无云。";"";"";"19.0";"14.6";"";"";"";"";"";"";
"14.06.2018 08:00";"25.3";"717.6";"752.5";"1.7";"47";"从东北偏东方向吹来的风";"5";"";"";"20–30%.";" ";"";"";"";"";"";"20–30%.";"2500或更高，或无云。";"";"";"19.0";"13.2";"";"";"";"";"";"";
"14.06.2018 05:00";"22.6";"715.9";"751.0";"1.0";"57";"从东北偏北方向吹来的风";"2";"";"";"由于雾和/或其他气象现象，天空不可见。";" ";"";"";"";"";"";"";"";"";"";"19.0";"13.7";"";"";"";"";"";"";
"14.06.2018 02:00";"23.9";"714.9";"749.8";"0.7";"54";"从北方吹来的风";"1";"";"";"由于雾和/或其他气象现象，天空不可见。";" ";"";"";"";"38.0";"";"";"";"";"";"18.0";"14.0";"";"";"";"";"";"";
"13.06.2018 23:00";"25.6";"714.2";"748.9";"0.7";"51";"从东北方吹来的风";"2";"";"";"由于雾和/或其他气象现象，天空不可见。";" ";"";"";"";"";"";"";"";"";"";"23.0";"14.7";"";"";"";"";"";"";
"13.06.2018 20:00";"31.4";"713.5";"747.5";"0.4";"27";"从西北偏西方向吹来的风";"1";"";"";"60%.";" ";"";"";"";"";"";"60%.";"2500或更高，或无云。";"";"";"30.0";"10.2";"";"";"";"";"";"";
"13.06.2018 17:00";"36.1";"713.1";"746.5";"-0.7";"22";"从东北偏北方向吹来的风";"2";"";"";"100%.";" ";"";"";"";"";"";"100%.";"600-1000";"";"";"30.0";"11.0";"";"";"";"";"";"";
"13.06.2018 14:00";"35.8";"713.8";"747.3";"-1.1";"28";"从南方吹来的风";"3";"";"";"90  或者更多，但不为100%";" ";"";"";"22.3";"";"";"90  或者更多，但不为100%";"2500或更高，或无云。";"";"";"26.0";"14.5";"";"";"";"";"";"";
"13.06.2018 11:00";"31.1";"714.9";"749.0";"0.2";"41";"从西南方吹来的风";"5";"";"";"90  或者更多，但不为100%";" ";"";"";"";"";"";"90  或者更多，但不为100%";"2500或更高，或无云。";"";"";"21.0";"16.3";"";"";"";"";"";"";
"13.06.2018 08:00";"25.5";"714.7";"749.4";"1.7";"52";"从东北偏北方向吹来的风";"1";"";"";"90  或者更多，但不为100%";" ";"";"";"";"";"";"90  或者更多，但不为100%";"2500或更高，或无云。";"";"";"20.0";"14.9";"";"";"";"";"";"";
"13.06.2018 05:00";"23.4";"713.0";"747.9";"0.3";"57";"从西北偏北方向吹来的风";"1";"";"";"由于雾和/或其他气象现象，天空不可见。";" ";"";"";"";"";"";"";"";"";"";"20.0";"14.4";"";"";"";"";"";"";
"13.06.2018 02:00";"25.0";"712.7";"747.4";"-0.2";"54";"从东方吹来的风";"1";"";"";"由于雾和/或其他气象现象，天空不可见。";" ";"";"";"";"36.8";"";"";"";"";"";"18.0";"15.1";"";"";"";"";"";"";
"12.06.2018 23:00";"29.3";"712.9";"747.1";"0.5";"39";"从南方吹来的风";"2";"";"";"由于雾和/或其他气象现象，天空不可见。";" ";"";"";"";"";"";"";"";"";"";"30.0";"13.9";"";"";"";"";"";"";
"12.06.2018 20:00";"30.2";"712.4";"746.5";"0.0";"25";"从东北偏东方向吹来的风";"1";"";"";"20–30%.";" ";"";"";"";"";"";"20–30%.";"2500或更高，或无云。";"";"";"30.0";"8.0";"";"";"";"";"";"";
"12.06.2018 17:00";"36.7";"712.4";"745.8";"-1.6";"18";"从东北方吹来的风";"1";"";"";"20–30%.";" ";"";"";"";"";"";"20–30%.";"600-1000";"";"";"30.0";"8.5";"";"";"";"";"";"";
"12.06.2018 14:00";"34.7";"714.0";"747.7";"-2.0";"24";"从西南偏西方向吹来的风";"2";"";"";"无云";" ";"";"";"22.1";"";"";"";"";"";"";"30.0";"11.2";"";"";"";"";"";"";
"12.06.2018 11:00";"31.5";"716.0";"750.1";"0.2";"37";"从东北偏北方向吹来的风";"2";"";"";"无云";" ";"";"";"";"";"";"";"";"";"";"21.0";"15.1";"";"";"";"";"";"";
"12.06.2018 08:00";"25.2";"715.8";"750.6";"1.3";"48";"从西南方吹来的风";"3";"";"";"无云";" ";"";"";"";"";"";"";"";"";"";"18.0";"13.4";"";"";"";"";"";"";
"12.06.2018 05:00";"22.9";"714.5";"749.5";"0.2";"53";"从西南方吹来的风";"2";"";"";"由于雾和/或其他气象现象，天空不可见。";" ";"";"";"";"";"";"";"";"";"";"24.0";"12.8";"";"";"";"";"";"";
"12.06.2018 02:00";"26.1";"714.3";"749.0";"-0.4";"43";"从西南方吹来的风";"3";"";"";"由于雾和/或其他气象现象，天空不可见。";" ";"";"";"";"36.0";"";"";"";"";"";"24.0";"12.6";"";"";"";"";"";"";
"11.06.2018 23:00";"27.7";"714.7";"749.2";"0.7";"48";"从西南方吹来的风";"1";"";"";"由于雾和/或其他气象现象，天空不可见。";" ";"";"";"";"";"";"";"";"";"";"27.0";"15.7";"";"";"";"";"";"";
"11.06.2018 20:00";"31.6";"714.0";"748.0";"0.4";"33";"从西南偏西方向吹来的风";"2";"";"";"90  或者更多，但不为100%";" ";"";"";"";"";"";"90  或者更多，但不为100%";"2500或更高，或无云。";"";"";"22.0";"13.4";"";"";"";"";"";"";
"11.06.2018 17:00";"35.2";"713.6";"747.2";"-1.6";"25";"从东方吹来的风";"2";"";"";"40%.";" ";"";"";"";"";"";"40%.";"600-1000";"";"";"30.0";"12.2";"";"";"";"";"";"";
"11.06.2018 14:00";"33.6";"715.2";"749.0";"-1.5";"27";"从东方吹来的风";"2";"";"";"60%.";" ";"";"";"18.4";"";"";"60%.";"2500或更高，或无云。";"";"";"30.0";"12.0";"";"";"";"";"";"";
